Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,4.550000,4.815000,4.510000,4.570000,4.570000,4035500
2018-12-18,4.630000,4.750000,4.610000,4.630000,4.630000,3517800
2018-12-19,4.650000,4.875000,4.530000,4.590000,4.590000,2847000
2018-12-20,4.530000,4.630000,4.220000,4.280000,4.280000,3722500
2018-12-21,4.300000,4.410000,4.000000,4.130000,4.130000,5074300
2018-12-24,4.000000,4.200000,4.000000,4.040000,4.040000,1893600
2018-12-26,4.040000,4.270000,4.000000,4.220000,4.220000,4124100
2018-12-27,4.160000,4.440000,4.120000,4.380000,4.380000,4142200
2018-12-28,4.430000,4.489000,4.250000,4.310000,4.310000,3435600
2018-12-31,4.320000,4.360000,4.200000,4.240000,4.240000,3797800
2019-01-02,4.190000,4.490000,4.160000,4.360000,4.360000,3392600
2019-01-03,4.360000,4.400000,4.240000,4.270000,4.270000,2740100
2019-01-04,4.320000,4.625000,4.310000,4.510000,4.510000,4411300
2019-01-07,4.510000,4.780000,4.400000,4.630000,4.630000,5321500
2019-01-08,4.680000,4.840000,4.620000,4.730000,4.730000,4609600
2019-01-09,4.830000,4.980000,4.735000,4.920000,4.920000,4435100
2019-01-10,4.850000,4.900000,4.630000,4.890000,4.890000,4435500
2019-01-11,4.830000,5.070000,4.760000,4.990000,4.990000,2797100
2019-01-14,4.950000,5.015000,4.820000,4.860000,4.860000,2708500
2019-01-15,4.900000,4.936000,4.758000,4.910000,4.910000,2234100
2019-01-16,4.880000,5.010000,4.880000,4.920000,4.920000,2082200
2019-01-17,4.880000,4.960000,4.860000,4.920000,4.920000,2286700
2019-01-18,4.900000,4.990000,4.835000,4.910000,4.910000,4014600
2019-01-22,4.870000,4.920000,4.770000,4.790000,4.790000,2628800
2019-01-23,4.830000,4.880000,4.760000,4.840000,4.840000,2020500
2019-01-24,4.850000,5.090000,4.830000,4.960000,4.960000,4216700
2019-01-25,5.010000,5.070000,4.910000,4.930000,4.930000,3346500
2019-01-28,4.850000,5.000000,4.830000,4.900000,4.900000,2822800
2019-01-29,4.880000,4.945000,4.800000,4.820000,4.820000,2664200
2019-01-30,4.950000,5.010000,4.780000,4.870000,4.870000,5647300
2019-01-31,4.900000,5.080000,4.880000,4.930000,4.930000,3138200
2019-02-01,4.990000,5.100000,4.920000,5.040000,5.040000,2531100
2019-02-04,5.120000,5.230000,5.100000,5.130000,5.130000,3191000
2019-02-05,5.120000,5.200000,5.100000,5.110000,5.110000,3742300
2019-02-06,5.300000,5.300000,5.100000,5.150000,5.150000,15135000
2019-02-07,5.300000,5.470000,5.070000,5.140000,5.140000,13463900
2019-02-08,5.070000,5.350000,5.010000,5.320000,5.320000,7429300
2019-02-11,5.310000,5.530000,5.268000,5.490000,5.490000,6009900
2019-02-12,5.520000,5.720000,5.510000,5.700000,5.700000,5417600
2019-02-13,5.730000,5.740000,5.515000,5.610000,5.610000,4212700
2019-02-14,5.560000,5.880000,5.480000,5.790000,5.790000,4782100
2019-02-15,5.800000,5.990000,5.770000,5.990000,5.990000,4292200
2019-02-19,5.990000,6.070000,5.850000,6.010000,6.010000,3189100
2019-02-20,6.020000,6.130000,5.950000,6.100000,6.100000,2872200
2019-02-21,6.100000,6.175000,6.010000,6.070000,6.070000,2724900
2019-02-22,6.130000,6.250000,6.100000,6.210000,6.210000,2512400
2019-02-25,6.270000,6.430000,6.270000,6.320000,6.320000,4738100
2019-02-26,6.270000,6.410000,6.250000,6.290000,6.290000,3904700
2019-02-27,6.280000,6.340000,6.165000,6.230000,6.230000,3975600
2019-02-28,6.210000,6.250000,5.740000,5.830000,5.830000,7141300
2019-03-01,5.890000,6.120000,5.880000,6.080000,6.080000,5038800
2019-03-04,6.120000,6.130000,5.920000,6.000000,6.000000,2581100
2019-03-05,6.030000,6.030000,5.880000,6.010000,6.010000,2089300
2019-03-06,6.000000,6.230000,5.970000,6.150000,6.150000,3405400
2019-03-07,6.120000,6.155000,5.850000,5.910000,5.910000,4762000
2019-03-08,5.830000,6.020000,5.800000,6.000000,6.000000,3063400
2019-03-11,6.000000,6.260000,6.000000,6.250000,6.250000,4211900
2019-03-12,6.190000,6.290000,6.140000,6.240000,6.240000,2408900
